docno,text,education,company,title,period,qid,score
83,• Implemented Responsive Web Design (RWD) via bootstrap to provide user-friendly interfaces.,"[{""school"": ""UC San Diego"", ""degree"": ""Master of Science - MS"", ""major"": ""Electrical and Computer Engineering"", ""period"": ""2021 \u2013 2023""}, {""school"": ""National Tsing Hua University"", ""degree"": ""Bachelor of Science - BS"", ""major"": ""Electrical and Electronics Engineering"", ""period"": ""2015 \u2013 2019""}]",Argo International Corporation Internship,Web Development Intern,Jul 2018 – Aug 2018,1,-1
84,• Designed and implemented metrics-based monitoring components that recognized abnormal time series data patterns and diagnosed 95% SharePoint Search backend server exceptions,"[{""school"": ""New York University"", ""degree"": ""Master of Science - MS"", ""major"": ""Data Science"", ""period"": ""2019 \u2013 2021""}, {""school"": ""Sun Yat-Sen University"", ""degree"": ""Bachelor's degree"", ""major"": ""Information Management and Information System"", ""period"": ""2015 \u2013 2019""}, {""school"": ""The University of Hong Kong"", ""degree"": ""Exchange Student"", ""major"": ""Faculty of Engineering"", ""period"": ""2017 \u2013 2017""}]",Microsoft Internship,Software Engineer Intern,Jun 2021 – Present,1,-1
85,"• Built auto analysis data streaming pipelines to automate anomaly detection in a timely manner, saving quality assurance engineers 90% time on their daily investigations","[{""school"": ""New York University"", ""degree"": ""Master of Science - MS"", ""major"": ""Data Science"", ""period"": ""2019 \u2013 2021""}, {""school"": ""Sun Yat-Sen University"", ""degree"": ""Bachelor's degree"", ""major"": ""Information Management and Information System"", ""period"": ""2015 \u2013 2019""}, {""school"": ""The University of Hong Kong"", ""degree"": ""Exchange Student"", ""major"": ""Faculty of Engineering"", ""period"": ""2017 \u2013 2017""}]",Microsoft Internship,Software Engineer Intern,Jun 2021 – Present,1,-1
86,"• Implemented alert service and problematic server auto bouncing features in C# and PowerShell, reducing on-calls average ops load by 30 minutes","[{""school"": ""New York University"", ""degree"": ""Master of Science - MS"", ""major"": ""Data Science"", ""period"": ""2019 \u2013 2021""}, {""school"": ""Sun Yat-Sen University"", ""degree"": ""Bachelor's degree"", ""major"": ""Information Management and Information System"", ""period"": ""2015 \u2013 2019""}, {""school"": ""The University of Hong Kong"", ""degree"": ""Exchange Student"", ""major"": ""Faculty of Engineering"", ""period"": ""2017 \u2013 2017""}]",Microsoft Internship,Software Engineer Intern,Jun 2021 – Present,1,-1
87,"• Designed and developed a highly customizable framework for Python web scrapers, saving the team 60% time on writing repeated scraping functions","[{""school"": ""New York University"", ""degree"": ""Master of Science - MS"", ""major"": ""Data Science"", ""period"": ""2019 \u2013 2021""}, {""school"": ""Sun Yat-Sen University"", ""degree"": ""Bachelor's degree"", ""major"": ""Information Management and Information System"", ""period"": ""2015 \u2013 2019""}, {""school"": ""The University of Hong Kong"", ""degree"": ""Exchange Student"", ""major"": ""Faculty of Engineering"", ""period"": ""2017 \u2013 2017""}]",New York University Internship,Software Engineer,May 2020 – Nov 2020,1,-1
88,"• Built and maintained a data pipeline to scrape and save more than 1,000 jail rosters in the U.S every day, including using AWS Lambda to aggregate, schedule and trigger batch jobs, dynamically allocating workers in EC2 instances, and storing data in RDS Aurora","[{""school"": ""New York University"", ""degree"": ""Master of Science - MS"", ""major"": ""Data Science"", ""period"": ""2019 \u2013 2021""}, {""school"": ""Sun Yat-Sen University"", ""degree"": ""Bachelor's degree"", ""major"": ""Information Management and Information System"", ""period"": ""2015 \u2013 2019""}, {""school"": ""The University of Hong Kong"", ""degree"": ""Exchange Student"", ""major"": ""Faculty of Engineering"", ""period"": ""2017 \u2013 2017""}]",New York University Internship,Software Engineer,May 2020 – Nov 2020,1,-1
89,"• Implemented a Python scheduler to automate up-to-date data summarization and visualization by pre-generating static website metrics corresponding to different counties, states and races","[{""school"": ""New York University"", ""degree"": ""Master of Science - MS"", ""major"": ""Data Science"", ""period"": ""2019 \u2013 2021""}, {""school"": ""Sun Yat-Sen University"", ""degree"": ""Bachelor's degree"", ""major"": ""Information Management and Information System"", ""period"": ""2015 \u2013 2019""}, {""school"": ""The University of Hong Kong"", ""degree"": ""Exchange Student"", ""major"": ""Faculty of Engineering"", ""period"": ""2017 \u2013 2017""}]",New York University Internship,Software Engineer,May 2020 – Nov 2020,1,-1
90,• Implemented decision tree model through Python based on customers’ historical data with final recall ratio of 74% to find out potential insurance buyers and assist decision making of strategy team,"[{""school"": ""New York University"", ""degree"": ""Master of Science - MS"", ""major"": ""Data Science"", ""period"": ""2019 \u2013 2021""}, {""school"": ""Sun Yat-Sen University"", ""degree"": ""Bachelor's degree"", ""major"": ""Information Management and Information System"", ""period"": ""2015 \u2013 2019""}, {""school"": ""The University of Hong Kong"", ""degree"": ""Exchange Student"", ""major"": ""Faculty of Engineering"", ""period"": ""2017 \u2013 2017""}]",Accenture Internship,IT Consultant Intern,Nov 2018 – Jan 2019,1,-1
91,"• Analyzed clients’ requirements, designed ER models and constructed corresponding databases using SQL server including 200k records; gathered comprehensive profiles of cars and customers by SQL queries","[{""school"": ""New York University"", ""degree"": ""Master of Science - MS"", ""major"": ""Data Science"", ""period"": ""2019 \u2013 2021""}, {""school"": ""Sun Yat-Sen University"", ""degree"": ""Bachelor's degree"", ""major"": ""Information Management and Information System"", ""period"": ""2015 \u2013 2019""}, {""school"": ""The University of Hong Kong"", ""degree"": ""Exchange Student"", ""major"": ""Faculty of Engineering"", ""period"": ""2017 \u2013 2017""}]",Accenture Internship,IT Consultant Intern,Nov 2018 – Jan 2019,1,2
92,"• Cleaned and verified data entries through Python and VBA, improving data quality by 40%","[{""school"": ""New York University"", ""degree"": ""Master of Science - MS"", ""major"": ""Data Science"", ""period"": ""2019 \u2013 2021""}, {""school"": ""Sun Yat-Sen University"", ""degree"": ""Bachelor's degree"", ""major"": ""Information Management and Information System"", ""period"": ""2015 \u2013 2019""}, {""school"": ""The University of Hong Kong"", ""degree"": ""Exchange Student"", ""major"": ""Faculty of Engineering"", ""period"": ""2017 \u2013 2017""}]",Accenture Internship,IT Consultant Intern,Nov 2018 – Jan 2019,1,-1
93,"• Deployed logistic regression, k-means clustering and cross-correlation table to conduct various analysis to find out characters of drivers, cars, roads, and environments when violations occurred","[{""school"": ""New York University"", ""degree"": ""Master of Science - MS"", ""major"": ""Data Science"", ""period"": ""2019 \u2013 2021""}, {""school"": ""Sun Yat-Sen University"", ""degree"": ""Bachelor's degree"", ""major"": ""Information Management and Information System"", ""period"": ""2015 \u2013 2019""}, {""school"": ""The University of Hong Kong"", ""degree"": ""Exchange Student"", ""major"": ""Faculty of Engineering"", ""period"": ""2017 \u2013 2017""}]",DiDi Internship,Data Science Intern,Jul 2018 – Nov 2018,1,-1
94,"• Proposed violation detection and prediction strategies with A/B testing based on analytical results, leading to 25% reduction in traffic violation rate","[{""school"": ""New York University"", ""degree"": ""Master of Science - MS"", ""major"": ""Data Science"", ""period"": ""2019 \u2013 2021""}, {""school"": ""Sun Yat-Sen University"", ""degree"": ""Bachelor's degree"", ""major"": ""Information Management and Information System"", ""period"": ""2015 \u2013 2019""}, {""school"": ""The University of Hong Kong"", ""degree"": ""Exchange Student"", ""major"": ""Faculty of Engineering"", ""period"": ""2017 \u2013 2017""}]",DiDi Internship,Data Science Intern,Jul 2018 – Nov 2018,1,-1
95,"• Cleaned, organized and visualized data through Python (Pandas, Numpy, Matplotlib, Seaborn) to do exploratory data analysis and present key findings to colleagues","[{""school"": ""New York University"", ""degree"": ""Master of Science - MS"", ""major"": ""Data Science"", ""period"": ""2019 \u2013 2021""}, {""school"": ""Sun Yat-Sen University"", ""degree"": ""Bachelor's degree"", ""major"": ""Information Management and Information System"", ""period"": ""2015 \u2013 2019""}, {""school"": ""The University of Hong Kong"", ""degree"": ""Exchange Student"", ""major"": ""Faculty of Engineering"", ""period"": ""2017 \u2013 2017""}]",DiDi Internship,Data Science Intern,Jul 2018 – Nov 2018,1,-1
96,• Accelerated data processing by 50% by automating data retrieval and extraction with SQL queries,"[{""school"": ""New York University"", ""degree"": ""Master of Science - MS"", ""major"": ""Data Science"", ""period"": ""2019 \u2013 2021""}, {""school"": ""Sun Yat-Sen University"", ""degree"": ""Bachelor's degree"", ""major"": ""Information Management and Information System"", ""period"": ""2015 \u2013 2019""}, {""school"": ""The University of Hong Kong"", ""degree"": ""Exchange Student"", ""major"": ""Faculty of Engineering"", ""period"": ""2017 \u2013 2017""}]",DiDi Internship,Data Science Intern,Jul 2018 – Nov 2018,1,2
97,- Provided modifications and integrations of a C++ high-frequency trading platform for collecting trades/quotes and disseminating orders to over 20 crypto exchanges,"[{""school"": ""Carnegie Mellon University"", ""degree"": ""Master of Science - MS"", ""major"": ""Computer Systems Networking and Telecommunications"", ""period"": ""2021 \u2013 2022""}, {""school"": ""National Taiwan University"", ""degree"": ""Bachelor of Business Administration - BBA"", ""major"": ""Major in Finance, Minor in Computer Science and Information Engineering"", ""period"": ""2014 \u2013 2018""}]",Kronos Research Full-time,"Software Engineer, C++",Jun 2020 – Aug 2021,1,-1
98,- Collaborated with traders and risk analysts to provide 24x7 support for debugging and investigating issues utilizing C++,"[{""school"": ""Carnegie Mellon University"", ""degree"": ""Master of Science - MS"", ""major"": ""Computer Systems Networking and Telecommunications"", ""period"": ""2021 \u2013 2022""}, {""school"": ""National Taiwan University"", ""degree"": ""Bachelor of Business Administration - BBA"", ""major"": ""Major in Finance, Minor in Computer Science and Information Engineering"", ""period"": ""2014 \u2013 2018""}]",Kronos Research Full-time,"Software Engineer, C++",Jun 2020 – Aug 2021,1,-1
99,"- Maintained data pipelines to ingest over 10TB of data each day including market feed trade, quote data, and reference data","[{""school"": ""Carnegie Mellon University"", ""degree"": ""Master of Science - MS"", ""major"": ""Computer Systems Networking and Telecommunications"", ""period"": ""2021 \u2013 2022""}, {""school"": ""National Taiwan University"", ""degree"": ""Bachelor of Business Administration - BBA"", ""major"": ""Major in Finance, Minor in Computer Science and Information Engineering"", ""period"": ""2014 \u2013 2018""}]",Kronos Research Full-time,"Software Engineer, C++",Jun 2020 – Aug 2021,1,-1
100,- Optimized legacy C++ code by migrating to modern C++ and removing inefficient computation units out of loops,"[{""school"": ""Carnegie Mellon University"", ""degree"": ""Master of Science - MS"", ""major"": ""Computer Systems Networking and Telecommunications"", ""period"": ""2021 \u2013 2022""}, {""school"": ""National Taiwan University"", ""degree"": ""Bachelor of Business Administration - BBA"", ""major"": ""Major in Finance, Minor in Computer Science and Information Engineering"", ""period"": ""2014 \u2013 2018""}]",Kronos Research Full-time,"Software Engineer, C++",Jun 2020 – Aug 2021,1,-1
101,- Worked in agile software development lifecycle methodology with a 6-member team to develop estimates and work breakdown schedules for project planning process,"[{""school"": ""Carnegie Mellon University"", ""degree"": ""Master of Science - MS"", ""major"": ""Computer Systems Networking and Telecommunications"", ""period"": ""2021 \u2013 2022""}, {""school"": ""National Taiwan University"", ""degree"": ""Bachelor of Business Administration - BBA"", ""major"": ""Major in Finance, Minor in Computer Science and Information Engineering"", ""period"": ""2014 \u2013 2018""}]",Kronos Research Full-time,"Software Engineer, C++",Jun 2020 – Aug 2021,1,-1
102,"- Participated in regular interviewing, recruiting events and improved company’s internal mentoring efforts by documenting software cycle phases and performing code reviews","[{""school"": ""Carnegie Mellon University"", ""degree"": ""Master of Science - MS"", ""major"": ""Computer Systems Networking and Telecommunications"", ""period"": ""2021 \u2013 2022""}, {""school"": ""National Taiwan University"", ""degree"": ""Bachelor of Business Administration - BBA"", ""major"": ""Major in Finance, Minor in Computer Science and Information Engineering"", ""period"": ""2014 \u2013 2018""}]",Kronos Research Full-time,"Software Engineer, C++",Jun 2020 – Aug 2021,1,-1
103,Machine Discovery and Social Network Mining Lab,"[{""school"": ""Carnegie Mellon University"", ""degree"": ""Master of Science - MS"", ""major"": ""Computer Systems Networking and Telecommunications"", ""period"": ""2021 \u2013 2022""}, {""school"": ""National Taiwan University"", ""degree"": ""Bachelor of Business Administration - BBA"", ""major"": ""Major in Finance, Minor in Computer Science and Information Engineering"", ""period"": ""2014 \u2013 2018""}]",,"Company Name
 National Taiwan University",Sep 2019 – May 2020,1,-1
104,- Utilized entity embedding to train a NN model for predicting loan clients’ monthly salary,"[{""school"": ""Carnegie Mellon University"", ""degree"": ""Master of Science - MS"", ""major"": ""Computer Systems Networking and Telecommunications"", ""period"": ""2021 \u2013 2022""}, {""school"": ""National Taiwan University"", ""degree"": ""Bachelor of Business Administration - BBA"", ""major"": ""Major in Finance, Minor in Computer Science and Information Engineering"", ""period"": ""2014 \u2013 2018""}]",,"Company Name
 National Taiwan University",Sep 2019 – May 2020,1,-1
105,Machine Discovery and Social Network Mining Lab,"[{""school"": ""Carnegie Mellon University"", ""degree"": ""Master of Science - MS"", ""major"": ""Computer Systems Networking and Telecommunications"", ""period"": ""2021 \u2013 2022""}, {""school"": ""National Taiwan University"", ""degree"": ""Bachelor of Business Administration - BBA"", ""major"": ""Major in Finance, Minor in Computer Science and Information Engineering"", ""period"": ""2014 \u2013 2018""}]",,"Title
 Research Assistant of Prof. Shou-De Lin",Sep 2019 – May 2020,1,-1
106,- Utilized entity embedding to train a NN model for predicting loan clients’ monthly salary,"[{""school"": ""Carnegie Mellon University"", ""degree"": ""Master of Science - MS"", ""major"": ""Computer Systems Networking and Telecommunications"", ""period"": ""2021 \u2013 2022""}, {""school"": ""National Taiwan University"", ""degree"": ""Bachelor of Business Administration - BBA"", ""major"": ""Major in Finance, Minor in Computer Science and Information Engineering"", ""period"": ""2014 \u2013 2018""}]",,"Title
 Research Assistant of Prof. Shou-De Lin",Sep 2019 – May 2020,1,-1
107,- Improved the KNN chord estimation model precision to 90% and submitted to the Music Information Retrieval Evaluation eXchange (MIREX),"[{""school"": ""Carnegie Mellon University"", ""degree"": ""Master of Science - MS"", ""major"": ""Computer Systems Networking and Telecommunications"", ""period"": ""2021 \u2013 2022""}, {""school"": ""National Taiwan University"", ""degree"": ""Bachelor of Business Administration - BBA"", ""major"": ""Major in Finance, Minor in Computer Science and Information Engineering"", ""period"": ""2014 \u2013 2018""}]",,"Title
 Research Assistant of Prof. Jyh-Shing Jang",Jun 2019 – Sep 2019,1,-1
108,- Implemented an in-house PHP/MySQL-based web application for derivative pricing,"[{""school"": ""Carnegie Mellon University"", ""degree"": ""Master of Science - MS"", ""major"": ""Computer Systems Networking and Telecommunications"", ""period"": ""2021 \u2013 2022""}, {""school"": ""National Taiwan University"", ""degree"": ""Bachelor of Business Administration - BBA"", ""major"": ""Major in Finance, Minor in Computer Science and Information Engineering"", ""period"": ""2014 \u2013 2018""}]",Cathay United Bank,Software Engineer,Sep 2018 – Jul 2019,1,2
109,"- Designed relational database schema to store information related to 15,000+ financial products and wrote VBA scripts to automate coupon payments calculation","[{""school"": ""Carnegie Mellon University"", ""degree"": ""Master of Science - MS"", ""major"": ""Computer Systems Networking and Telecommunications"", ""period"": ""2021 \u2013 2022""}, {""school"": ""National Taiwan University"", ""degree"": ""Bachelor of Business Administration - BBA"", ""major"": ""Major in Finance, Minor in Computer Science and Information Engineering"", ""period"": ""2014 \u2013 2018""}]",Cathay United Bank,Software Engineer,Sep 2018 – Jul 2019,1,1
110,- Designed an interactive media-FX SWAP IP calculator to calculate price for swaps.,"[{""school"": ""Carnegie Mellon University"", ""degree"": ""Master of Science - MS"", ""major"": ""Computer Systems Networking and Telecommunications"", ""period"": ""2021 \u2013 2022""}, {""school"": ""National Taiwan University"", ""degree"": ""Bachelor of Business Administration - BBA"", ""major"": ""Major in Finance, Minor in Computer Science and Information Engineering"", ""period"": ""2014 \u2013 2018""}]","CTBC Financial Holding Co., Ltd Internship",Project Intern,Jul 2017 – Sep 2017,1,-1
111,- Created visually-engaging presentation slides introducing products to potential customers.,"[{""school"": ""Carnegie Mellon University"", ""degree"": ""Master of Science - MS"", ""major"": ""Computer Systems Networking and Telecommunications"", ""period"": ""2021 \u2013 2022""}, {""school"": ""National Taiwan University"", ""degree"": ""Bachelor of Business Administration - BBA"", ""major"": ""Major in Finance, Minor in Computer Science and Information Engineering"", ""period"": ""2014 \u2013 2018""}]","CTBC Financial Holding Co., Ltd Internship",Project Intern,Jul 2017 – Sep 2017,1,-1
112,"• Research Areas: Computer Vision, Image Inpainting & Outpainting, and Audio‑Visual Sound Source Separation","[{""school"": ""Rice University"", ""degree"": ""Master of Computer Science"", ""major"": null, ""period"": ""2021 \u2013 2023""}, {""school"": ""National Taiwan University"", ""degree"": ""Bachelor of Business Administration - BBA"", ""major"": ""Accounting Major; Business Analytics Program"", ""period"": ""2014 \u2013 2019""}]",National Taiwan University Internship,Research Assistant,Feb 2020 – May 2021,1,-1
113,"• Collaborated with Qualcomm in San Diego on designing deep learning frameworks with Pytorch for two image outpainting projects, and one of them has resulted in a first‑authored conference paper in 2021","[{""school"": ""Rice University"", ""degree"": ""Master of Computer Science"", ""major"": null, ""period"": ""2021 \u2013 2023""}, {""school"": ""National Taiwan University"", ""degree"": ""Bachelor of Business Administration - BBA"", ""major"": ""Accounting Major; Business Analytics Program"", ""period"": ""2014 \u2013 2019""}]",National Taiwan University Internship,Research Assistant,Feb 2020 – May 2021,1,-1
114,"• Developed an automated system by designing APIs with Python, SQL, and Shell Script to facilitate other engineers’ model training processes, such as filtering, processing, and auto‑labeling data from the internal shared database","[{""school"": ""Rice University"", ""degree"": ""Master of Computer Science"", ""major"": null, ""period"": ""2021 \u2013 2023""}, {""school"": ""National Taiwan University"", ""degree"": ""Bachelor of Business Administration - BBA"", ""major"": ""Accounting Major; Business Analytics Program"", ""period"": ""2014 \u2013 2019""}]",SkyREC Inc. Internship,Software Engineer Intern,Jul 2018 – Aug 2019,1,2
115,• Improved the accuracy of a multi‑class object detection model by 5% mAP compared to a previous model,"[{""school"": ""Rice University"", ""degree"": ""Master of Computer Science"", ""major"": null, ""period"": ""2021 \u2013 2023""}, {""school"": ""National Taiwan University"", ""degree"": ""Bachelor of Business Administration - BBA"", ""major"": ""Accounting Major; Business Analytics Program"", ""period"": ""2014 \u2013 2019""}]",SkyREC Inc. Internship,Software Engineer Intern,Jul 2018 – Aug 2019,1,-1
116,"• Investigated 3 kinds of object detection models for different camera types and object classes, which led to products","[{""school"": ""Rice University"", ""degree"": ""Master of Computer Science"", ""major"": null, ""period"": ""2021 \u2013 2023""}, {""school"": ""National Taiwan University"", ""degree"": ""Bachelor of Business Administration - BBA"", ""major"": ""Accounting Major; Business Analytics Program"", ""period"": ""2014 \u2013 2019""}]",SkyREC Inc. Internship,Software Engineer Intern,Jul 2018 – Aug 2019,1,-1
117,• Collaborated with senior engineers to develop and maintain an asynchronous server for internal data management,"[{""school"": ""Rice University"", ""degree"": ""Master of Computer Science"", ""major"": null, ""period"": ""2021 \u2013 2023""}, {""school"": ""National Taiwan University"", ""degree"": ""Bachelor of Business Administration - BBA"", ""major"": ""Accounting Major; Business Analytics Program"", ""period"": ""2014 \u2013 2019""}]",SkyREC Inc. Internship,Software Engineer Intern,Jul 2018 – Aug 2019,1,-1
118,"• Technical Support: troubleshot devices (e.g. cameras, Wi‑Fi routers, and PoEs) for nearly 100 retail stores","[{""school"": ""Rice University"", ""degree"": ""Master of Computer Science"", ""major"": null, ""period"": ""2021 \u2013 2023""}, {""school"": ""National Taiwan University"", ""degree"": ""Bachelor of Business Administration - BBA"", ""major"": ""Accounting Major; Business Analytics Program"", ""period"": ""2014 \u2013 2019""}]",SkyREC Inc. Internship,Software Engineer Intern,Jul 2018 – Aug 2019,1,-1
119,"• Utilized Microsoft Excel skills such as formula functions, charts, and pivot tables to analyze data for financial reports","[{""school"": ""Rice University"", ""degree"": ""Master of Computer Science"", ""major"": null, ""period"": ""2021 \u2013 2023""}, {""school"": ""National Taiwan University"", ""degree"": ""Bachelor of Business Administration - BBA"", ""major"": ""Accounting Major; Business Analytics Program"", ""period"": ""2014 \u2013 2019""}]",Ernst & Young Internship,Audit (Winter) Intern,Jan 2017 – Feb 2017,1,-1
120,90812 - Intro to Programming with Python.,"[{""school"": ""Carnegie Mellon University"", ""degree"": ""Master's degree"", ""major"": ""Information Systems Management"", ""period"": ""2020 \u2013 2022""}, {""school"": ""University of Mumbai"", ""degree"": ""Bachelor of Engineering (B.E.)"", ""major"": ""Information Technology"", ""period"": ""2014 \u2013 2018""}]",Carnegie Mellon University Part-time,Graduate Teaching Assistant,Aug 2021 – Present,1,-1
121,"• Took the lead on implementing intelligent monitoring of the Walmart Self-Checkout application, using Dynatrace, to automate the process of identifying issues in the application.","[{""school"": ""Carnegie Mellon University"", ""degree"": ""Master's degree"", ""major"": ""Information Systems Management"", ""period"": ""2020 \u2013 2022""}, {""school"": ""University of Mumbai"", ""degree"": ""Bachelor of Engineering (B.E.)"", ""major"": ""Information Technology"", ""period"": ""2014 \u2013 2018""}]",Walmart Global Tech Full-time,Software Engineer Intern,Jun 2021 – Aug 2021,1,-1
122,• Automated the process of data analysis to provide insightful reports and statistics about application errors and failures.,"[{""school"": ""Carnegie Mellon University"", ""degree"": ""Master's degree"", ""major"": ""Information Systems Management"", ""period"": ""2020 \u2013 2022""}, {""school"": ""University of Mumbai"", ""degree"": ""Bachelor of Engineering (B.E.)"", ""major"": ""Information Technology"", ""period"": ""2014 \u2013 2018""}]",Walmart Global Tech Full-time,Software Engineer Intern,Jun 2021 – Aug 2021,1,-1
123,"• Worked on the self-checkout Age-check feature of the application using Android Kotlin. Helped implement usage analytics for Walmart stores across the United States in Dynatrace, handling over 9 million requests per month.","[{""school"": ""Carnegie Mellon University"", ""degree"": ""Master's degree"", ""major"": ""Information Systems Management"", ""period"": ""2020 \u2013 2022""}, {""school"": ""University of Mumbai"", ""degree"": ""Bachelor of Engineering (B.E.)"", ""major"": ""Information Technology"", ""period"": ""2014 \u2013 2018""}]",Walmart Global Tech Full-time,Software Engineer Intern,Jun 2021 – Aug 2021,1,-1
124,• Developed visualization to measure performance metrics of different versions of the application to help increase efficiency and optimize application performance at each view using USQL.,"[{""school"": ""Carnegie Mellon University"", ""degree"": ""Master's degree"", ""major"": ""Information Systems Management"", ""period"": ""2020 \u2013 2022""}, {""school"": ""University of Mumbai"", ""degree"": ""Bachelor of Engineering (B.E.)"", ""major"": ""Information Technology"", ""period"": ""2014 \u2013 2018""}]",Walmart Global Tech Full-time,Software Engineer Intern,Jun 2021 – Aug 2021,1,2
125,• Developed a view in React Native mini-app for Walmart POS app.,"[{""school"": ""Carnegie Mellon University"", ""degree"": ""Master's degree"", ""major"": ""Information Systems Management"", ""period"": ""2020 \u2013 2022""}, {""school"": ""University of Mumbai"", ""degree"": ""Bachelor of Engineering (B.E.)"", ""major"": ""Information Technology"", ""period"": ""2014 \u2013 2018""}]",Walmart Global Tech Full-time,Software Engineer Intern,Jun 2021 – Aug 2021,1,-1
126,• Developed new functionalities for the internal portal of the company in Angular to manage daily operations.,"[{""school"": ""Carnegie Mellon University"", ""degree"": ""Master's degree"", ""major"": ""Information Systems Management"", ""period"": ""2020 \u2013 2022""}, {""school"": ""University of Mumbai"", ""degree"": ""Bachelor of Engineering (B.E.)"", ""major"": ""Information Technology"", ""period"": ""2014 \u2013 2018""}]",Amaze Entertech Ltd. Full-time,Software Developer,Mar 2019 – Feb 2020,1,-1
127,• Analyzed Google Analytics Data to find problems in the website and thus optimizing the site by 30%.,"[{""school"": ""Carnegie Mellon University"", ""degree"": ""Master's degree"", ""major"": ""Information Systems Management"", ""period"": ""2020 \u2013 2022""}, {""school"": ""University of Mumbai"", ""degree"": ""Bachelor of Engineering (B.E.)"", ""major"": ""Information Technology"", ""period"": ""2014 \u2013 2018""}]",Amaze Entertech Ltd. Full-time,Software Developer,Mar 2019 – Feb 2020,1,-1
128,• Optimized the load time of the page by 50% thus reducing the bounce rate of the user by making the flow seamless.,"[{""school"": ""Carnegie Mellon University"", ""degree"": ""Master's degree"", ""major"": ""Information Systems Management"", ""period"": ""2020 \u2013 2022""}, {""school"": ""University of Mumbai"", ""degree"": ""Bachelor of Engineering (B.E.)"", ""major"": ""Information Technology"", ""period"": ""2014 \u2013 2018""}]",Amaze Entertech Ltd. Full-time,Software Developer,Mar 2019 – Feb 2020,1,-1
129,• Revamped present applications to make it more mobile-friendly thus increasing customer retention by 20%.,"[{""school"": ""Carnegie Mellon University"", ""degree"": ""Master's degree"", ""major"": ""Information Systems Management"", ""period"": ""2020 \u2013 2022""}, {""school"": ""University of Mumbai"", ""degree"": ""Bachelor of Engineering (B.E.)"", ""major"": ""Information Technology"", ""period"": ""2014 \u2013 2018""}]",Amaze Entertech Ltd. Full-time,Software Developer,Mar 2019 – Feb 2020,1,-1
130,• Developed an online course portal on SAP ABAP.,"[{""school"": ""Carnegie Mellon University"", ""degree"": ""Master's degree"", ""major"": ""Information Systems Management"", ""period"": ""2020 \u2013 2022""}, {""school"": ""University of Mumbai"", ""degree"": ""Bachelor of Engineering (B.E.)"", ""major"": ""Information Technology"", ""period"": ""2014 \u2013 2018""}]",Infosys Full-time,System Engineer,Jun 2018 – Jan 2019,1,-1
131,• Understood the functional specifications and developed multiple reports as per the client requirement.,"[{""school"": ""Carnegie Mellon University"", ""degree"": ""Master's degree"", ""major"": ""Information Systems Management"", ""period"": ""2020 \u2013 2022""}, {""school"": ""University of Mumbai"", ""degree"": ""Bachelor of Engineering (B.E.)"", ""major"": ""Information Technology"", ""period"": ""2014 \u2013 2018""}]",Infosys Full-time,System Engineer,Jun 2018 – Jan 2019,1,-1
132,• Implemented SAP Smartforms to generate certificates in the course portal and used SAP Web DynPro and Advanced,"[{""school"": ""Carnegie Mellon University"", ""degree"": ""Master's degree"", ""major"": ""Information Systems Management"", ""period"": ""2020 \u2013 2022""}, {""school"": ""University of Mumbai"", ""degree"": ""Bachelor of Engineering (B.E.)"", ""major"": ""Information Technology"", ""period"": ""2014 \u2013 2018""}]",Infosys Full-time,System Engineer,Jun 2018 – Jan 2019,1,-1
133,programming in SAP ABAP to build the interface.,"[{""school"": ""Carnegie Mellon University"", ""degree"": ""Master's degree"", ""major"": ""Information Systems Management"", ""period"": ""2020 \u2013 2022""}, {""school"": ""University of Mumbai"", ""degree"": ""Bachelor of Engineering (B.E.)"", ""major"": ""Information Technology"", ""period"": ""2014 \u2013 2018""}]",Infosys Full-time,System Engineer,Jun 2018 – Jan 2019,1,-1
134,"• Implemented a complete company with processes such as purchase requisition, rfq’s, purchase orders, goods receipt,","[{""school"": ""Carnegie Mellon University"", ""degree"": ""Master's degree"", ""major"": ""Information Systems Management"", ""period"": ""2020 \u2013 2022""}, {""school"": ""University of Mumbai"", ""degree"": ""Bachelor of Engineering (B.E.)"", ""major"": ""Information Technology"", ""period"": ""2014 \u2013 2018""}]",Infosys Full-time,System Engineer,Jun 2018 – Jan 2019,1,-1
135,"invoice verification, sub-contracting, consignment po, stock transfer etc. in SAP MM module.","[{""school"": ""Carnegie Mellon University"", ""degree"": ""Master's degree"", ""major"": ""Information Systems Management"", ""period"": ""2020 \u2013 2022""}, {""school"": ""University of Mumbai"", ""degree"": ""Bachelor of Engineering (B.E.)"", ""major"": ""Information Technology"", ""period"": ""2014 \u2013 2018""}]",Infosys Full-time,System Engineer,Jun 2018 – Jan 2019,1,-1
136,"• Assisting professor with course material, assignments and exams for Statistical Learning (CSE569) with 140+ enrolled students.","[{""school"": ""Arizona State University"", ""degree"": ""Master of Science - MS"", ""major"": ""Computer Science"", ""period"": ""2020 \u2013 2021""}, {""school"": ""Malaviya National Insitute of Technology Jaipur"", ""degree"": ""Bachelor of Technology (B.Tech.)"", ""major"": ""Computer Science"", ""period"": ""2015 \u2013 2019""}, {""school"": ""Maharani Gayatri Devi Girls' School, Jaipur"", ""degree"": ""Marticulation"", ""major"": ""Science"", ""period"": ""2003 \u2013 2015""}]",Arizona State University Part-time,Graduate Services Assistant,Sep 2021 – Present,1,-1
